[2024-11-10 17:20:06,376: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:20:14,346: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:20:14,610: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x===========x]
[2024-11-10 17:20:14,610: INFO: main: *********************]
[2024-11-10 17:20:14,610: INFO: main: >>>>>> stage  Prepare base model started <<<<<<<]
[2024-11-10 17:20:14,612: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:20:14,614: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:20:14,615: INFO: common: created directory at: artifacts]
[2024-11-10 17:20:14,615: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-10 17:20:15,014: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-11-10 17:20:15,265: INFO: main: >>>>>> stage  Prepare base model completed <<<<<<<

x===========x]
[2024-11-10 17:22:09,040: INFO: main: >>>>>> stage  Data Ingestion stage started <<<<<<<]
[2024-11-10 17:22:09,042: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:22:09,044: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:22:09,044: INFO: common: created directory at: artifacts]
[2024-11-10 17:22:09,044: INFO: common: created directory at: artifacts/data_ingestion]
[2024-11-10 17:22:09,045: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:22:15,299: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ba-F3UWw6CeFiWdr3rsQ6buCQJ0PGK5a/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-11-10 17:22:15,480: INFO: main: >>>>>> stage  Data Ingestion stage completed <<<<<<<

x===========x]
[2024-11-10 17:22:15,480: INFO: main: *********************]
[2024-11-10 17:22:15,480: INFO: main: >>>>>> stage  Prepare base model started <<<<<<<]
[2024-11-10 17:22:15,483: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-11-10 17:22:15,484: INFO: common: yaml file: params.yaml loaded successfully]
[2024-11-10 17:22:15,485: INFO: common: created directory at: artifacts]
[2024-11-10 17:22:15,485: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-11-10 17:22:15,918: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
